TransactionAmount,TransactionType,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,CustomerOccupation,Location,Channel,TransactionDate,PreviousTransactionDate,Label
14.09,Debit,70,81,1,5112.21,Doctor,San Diego,ATM,2023-04-11 16:29:14,2024-11-04 08:08:08,0
376.24,Debit,68,141,1,13758.91,Doctor,Houston,ATM,2023-06-27 16:44:19,2024-11-04 08:09:35,0
126.29,Debit,19,56,1,1122.35,Student,Mesa,Online,2023-07-10 18:16:08,2024-11-04 08:07:04,2
184.5,Debit,26,25,1,8569.06,Student,Raleigh,Online,2023-05-05 16:32:11,2024-11-04 08:09:06,2
13.45,Credit,26,198,1,7429.4,Student,Atlanta,Online,2023-10-16 17:51:24,2024-11-04 08:06:39,3
92.15,Debit,18,172,1,781.68,Student,Oklahoma City,ATM,2023-04-03 17:15:01,2024-11-04 08:06:36,2
7.08,Credit,37,139,1,13316.71,Doctor,Seattle,ATM,2023-02-15 16:36:48,2024-11-04 08:10:09,1
171.42,Credit,67,291,1,2796.24,Retired,Indianapolis,Branch,2023-05-08 17:47:59,2024-11-04 08:10:55,1
106.23,Credit,51,86,1,9095.14,Engineer,Detroit,Branch,2023-03-21 16:59:46,2024-11-04 08:11:14,1
815.96,Debit,55,120,1,1021.88,Doctor,Nashville,ATM,2023-03-31 16:06:57,2024-11-04 08:06:32,0
17.78,Credit,52,59,1,7599.52,Engineer,Albuquerque,Online,2023-03-14 16:46:10,2024-11-04 08:06:45,1
190.02,Debit,21,173,1,1528.81,Student,Memphis,Online,2023-02-06 17:30:00,2024-11-04 08:07:12,2
494.52,Credit,24,111,1,1620.02,Student,Mesa,Branch,2023-06-07 17:21:28,2024-11-04 08:08:38,3
781.76,Debit,26,123,1,189.69,Student,Memphis,ATM,2023-11-20 16:39:15,2024-11-04 08:07:06,2
166.99,Debit,18,134,1,299.93,Student,Louisville,Online,2023-02-13 16:53:57,2024-11-04 08:10:09,2
465.45,Debit,36,129,1,3465.54,Engineer,Denver,ATM,2023-12-12 16:23:31,2024-11-04 08:12:19,0
555.8,Credit,19,158,1,1131.26,Student,Austin,Branch,2023-10-30 16:52:49,2024-11-04 08:07:35,3
492.93,Debit,39,234,1,5109.97,Engineer,Columbus,Online,2023-12-14 18:32:14,2024-11-04 08:11:51,0
18.68,Credit,59,106,1,7948.37,Retired,Albuquerque,Branch,2023-02-21 16:56:50,2024-11-04 08:12:01,1
71.48,Credit,18,169,1,6568.59,Student,Columbus,Online,2023-06-08 18:18:50,2024-11-04 08:09:20,3
59.32,Debit,71,38,1,5750.89,Retired,Los Angeles,Branch,2023-02-28 16:36:58,2024-11-04 08:09:24,0
85.77,Debit,38,93,1,9146.19,Doctor,Las Vegas,Branch,2023-08-11 18:31:31,2024-11-04 08:08:13,0
52.2,Debit,39,120,1,8974.93,Engineer,Atlanta,Online,2023-06-06 18:54:15,2024-11-04 08:07:01,0
345.84,Debit,22,142,3,1402.5,Student,Fort Worth,Online,2023-05-02 18:25:46,2024-11-04 08:07:04,2
145.54,Debit,21,96,1,1930.96,Student,Raleigh,Online,2023-03-02 16:43:56,2024-11-04 08:07:09,2
7.49,Credit,65,276,1,3634.67,Retired,Houston,Online,2023-10-20 17:53:13,2024-11-04 08:09:44,1
246.93,Debit,23,158,5,673.35,Student,Miami,ATM,2023-04-17 16:37:01,2024-11-04 08:11:38,2
40.32,Debit,37,95,1,2686.52,Engineer,Milwaukee,Branch,2023-03-29 16:42:38,2024-11-04 08:11:59,0
127.45,Debit,44,197,1,1772.06,Doctor,Las Vegas,Online,2023-01-24 16:18:32,2024-11-04 08:11:22,0
56.17,Debit,27,283,1,1351.69,Student,Detroit,Branch,2023-09-20 16:55:42,2024-11-04 08:08:30,2
28.31,Credit,59,20,1,8334.47,Doctor,Miami,Online,2023-07-17 17:49:22,2024-11-04 08:09:17,1
59.12,Debit,29,257,1,9823.64,Doctor,Baltimore,ATM,2023-02-06 16:24:24,2024-11-04 08:06:58,0
396.45,Debit,49,168,3,9690.15,Engineer,New York,ATM,2023-09-25 16:26:00,2024-11-04 08:11:13,0
877.81,Debit,22,150,1,399.0,Student,Los Angeles,Online,2023-03-13 17:23:24,2024-11-04 08:07:50,2
255.26,Credit,45,50,1,14815.87,Doctor,San Francisco,Branch,2023-10-27 16:42:49,2024-11-04 08:10:51,1
124.76,Debit,49,45,1,5764.72,Engineer,Seattle,Branch,2023-10-16 16:32:56,2024-11-04 08:06:23,0
78.13,Debit,26,145,1,900.61,Student,Milwaukee,Branch,2023-11-21 16:58:44,2024-11-04 08:12:18,2
649.28,Debit,75,137,1,4875.86,Retired,San Jose,ATM,2023-03-02 17:53:32,2024-11-04 08:11:15,0
795.31,Debit,66,90,2,7914.88,Doctor,Mesa,ATM,2023-10-12 17:07:40,2024-11-04 08:11:17,0
335.63,Debit,55,216,1,1019.39,Retired,Oklahoma City,Online,2023-01-24 17:17:20,2024-11-04 08:07:32,0
328.47,Debit,63,119,1,4323.66,Retired,San Antonio,ATM,2023-07-31 18:39:50,2024-11-04 08:07:31,0
34.02,Debit,38,19,1,14214.48,Doctor,Philadelphia,Online,2023-01-09 16:13:21,2024-11-04 08:11:45,0
241.42,Credit,57,116,1,13357.02,Doctor,Charlotte,Online,2023-04-20 18:57:43,2024-11-04 08:09:03,1
55.32,Debit,19,117,1,241.79,Student,Tucson,ATM,2023-04-12 16:03:37,2024-11-04 08:08:03,2
304.31,Debit,27,33,1,868.61,Student,Louisville,Branch,2023-07-26 16:52:28,2024-11-04 08:09:53,2
435.27,Debit,74,90,1,4673.28,Retired,Chicago,Branch,2023-10-04 17:49:29,2024-11-04 08:11:12,0
164.49,Debit,26,75,1,1509.27,Student,Baltimore,Branch,2023-12-13 16:01:38,2024-11-04 08:10:33,2
510.24,Debit,19,105,1,781.7,Student,Oklahoma City,Online,2023-10-09 16:29:40,2024-11-04 08:11:35,2
626.9,Debit,26,138,1,265.51,Student,Denver,Online,2023-11-27 16:45:57,2024-11-04 08:07:24,2
22.01,Credit,41,175,1,1335.09,Engineer,Sacramento,Online,2023-03-27 16:45:18,2024-11-04 08:06:31,1
425.34,Credit,69,121,1,3907.54,Retired,Kansas City,Online,2023-02-13 16:59:39,2024-11-04 08:07:07,1
